publish_year,title,author
1287,شمس و طغرا,محمدباقر میرزا خسروی
1295,عشق و سلطنت,موسی نثری
1299,داستان باستان,حسین بدیع
1299,دام‌گستران یا انتقام‌خواهان مزدک,عبدالحسین صنعتی‌زاده
1301,تهران مخوف,مرتضی مشفق کاظمی
1309,زیبا,محمد حجازی
1315,بوف کور,صادق هدایت
1318,حاجی آقا,صادق هدایت
1321,چمدان,بزرگ علوی
1331,چشم‌هایش,بزرگ علوی
1337,مدیر مدرسه,جلال آل‌احمد
1338,نون و القلم,جلال آل‌احمد
1339,نفرین زمین,جلال آل‌احمد
1340,شوهر آهوخانم,علی‌محمد افغانی
1340,ملکوت,بهرام صادقی
1342,تنگسیر,صادق چوبک
1345,سنگ صبور,صادق چوبک
1347,شازده احتجاب,هوشنگ گلشیری
1347,شکر تلخ,جعفر شهری
1348,سووشون,سیمین دانشور
1349,سنگی بر گوری,جلال آل‌احمد
1350,از خم چنبر,محمود دولت‌آبادی
1351,دایی جان ناپلئون,ایرج پزشکزاد
1352,آتش بدون دود,نادر ابراهیمی
1352,خواب زمستانی,گلی ترقی
1353,همسایه‌ها,احمد محمود
1353,شب یک، شب دو,بهمن فرسی
1355,سگ و زمستان بلند,شهرنوش پارسی‌پور
1356,بره گمشده راعی,هوشنگ گلشیری
1357,کلیدر، جلد اول,محمود دولت‌آبادی
1357,شب هول,هرمز شهدادی
1357,مادرم بی‌بی جان,اصغر الهی
1358,جای خالی سلوچ,محمود دولت‌آبادی
1358,فیل در تاریکی,قاسم هاشمی‌نژاد
1358,سلول ۱۸,علی‌اشرف درویشیان
1362,ثریا در اغما,اسماعیل فصیح
1365,باغ بلور,محسن مخملباف
1366,رازهای سرزمین من,رضا براهنی
1366,زمستان ۶۲,اسماعیل فصیح
1367,طوبا و معنای شب,شهرنوش پارسی‌پور
1368,سمفونی مردگان,عباس معروفی
1368,اهل غرق,منیرو روانی‌پور
1369,دل فولاد,منیرو روانی‌پور
1370,خانه ادریسی‌ها,غزاله علیزاده
1371,سال بلوا,عباس معروفی
1372,جزیره سرگردانی,سیمین دانشور
1372,دلدادگی,شهریار مندنی‌پور
1374,بامداد خمار,فتانه حاج‌سیدجوادی
1374,روی ماه خداوند را ببوس,مصطفی مستور
1374,چاه بابل,رضا قاسمی
1377,دیوان سومنات,ابوتراب خسروی
1378,کولی کنار آتش,منیرو روانی‌پور
1378,من او,رضا امیرخانی
1378,نیمه غایب,حسین سناپور
1379,اسفار کاتبان,ابوتراب خسروی
1380,چراغ‌ها را من خاموش می‌کنم,زویا پیرزاد
1380,ساربان سرگردان,سیمین دانشور
1380,دکتر نون زنش را بیشتر از مصدق دوست دارد,شهرام رحیمیان
1381,آداب بی‌قراری,یعقوب یادعلی
1381,پرنده من,فریبا وفی
1381,همنوایی شبانه ارکستر چوب‌ها,رضا قاسمی
1381,آبی‌تر از گناه,شهرام رحیمیان
1382,ترلان,فریبا وفی
1382,رود راوی,ابوتراب خسروی
1382,باغ ملی,کورش اسدی
1382,سهم من,پرینوش صنیعی
1383,عقرب روی پله‌های راه‌آهن اندیمشک,حسین مرتضاییان آبکنار
1383,عادت می‌کنیم,زویا پیرزاد
1383,پوکه‌باز,کورش اسدی
1384,به گزارش هواشناسی: فردا این خورشید لعنتی...,مهدی یزدانی‌خرم
1384,رویای تبت,فریبا وفی
1384,سگ‌ها و آدم‌ها,فرشته مولوی
1385,بازی آخر بانو,بلقیس سلیمانی
1386,کافه پیانو,فرهاد جعفری
1386,رازی در کوچه‌ها,فریبا وفی
1386,نسترن‌های صورتی,رضا جولایی
1387,من گنجشک نیستم,مصطفی مستور
1387,خانم نویسنده,طاهره علوی
1387,زمانی برای پنهان شدن,احمد بیگدلی
1388,شبیه عطری در نسیم,رضیه انصاری
1388,یوسف‌آباد، خیابان سی‌وسوم,سین.د.م.ک
1388,پدر آن دیگری,پرینوش صنیعی
1389,ماه کامل می‌شود,فریبا وفی
1389,کنسرت تارهای ممنوعه,حسین مرتضاییان آبکنار
1390,من منچستریونایتد را دوست دارم,مهدی یزدانی‌خرم
1391,کوچه ابرهای گمشده,کورش اسدی
1391,قیدار,رضا امیرخانی
1392,بعد از پایان,فریبا وفی
1392,ملکان عذاب,ابوتراب خسروی
1393,پاییز فصل آخر سال است,نسیم مرعشی
1394,بی‌کتابی,محمدرضا شرفی خبوشان
1394,رویای نیمه‌شب,مظفر سالاری
1395,سرخ‌سفید,مهدی یزدانی‌خرم
1396,رهش,رضا امیرخانی
1396,قهوه سرد آقای نویسنده,روزبه معین
1396,آبنبات هل‌دار,مهرداد صدقی
1397,خون‌خورده,مهدی یزدانی‌خرم
1397,راهنمای مردن با گیاهان دارویی,عطیه عطارزاده
1398,روز دیگر شورا,فریبا وفی
1398,بی پولی,مهدی یزدانی‌خرم
